	First Packet (135076...)	Second Packet (135076...)	Last Packet (135076...)	First Packet Offset	EditCap Offset
					
ARP Burst	5697.369848856	5697.370098608	5697.429598396		
ARP Burst 2					
					
ARP Request	4209.473626434	4209.479181334	4329.656959082	0	
ARP Request 2					
					
DHCP Request	4677.4089076	4677.418907762	4797.448907394	0.000005867	
DHCP Request 2					
					
ENIP Class 1	5465.368203812	5465.36875947	5585.535425741	0.000002514	
ENIP Class 1 2					
					
ENIP ListIdentity	5279.956616285	5280.056616223	5399.956616271	0.000000838	
ENIP ListIdentity 2					
					
Gratuitous ARP	4431.931299906	4431.936855644	4552.286855415	0	
Gratuitous ARP 2					
					
ICMP	4858.540302817	4858.550302979	4978.750302842	0.000001676	
ICMP 2					
					
NTP	5090.352928718	5090.452928656	5210.352927866	0.000003352	
NTP 2					
